"fname","group","tot_dist","var_dist","frames_tracked"
"04_2C_17","after the drop",46.712,3.0147035816092,30
"04_2C_17","before the drop",96.245,5.06006172988506,30
"04_2D_05","after the drop",36.829,2.55173292988506,30
"04_2D_05","before the drop",50.771,3.73018244712644,30
"04_2D_07","after the drop",25.235,1.2513191091954,30
"04_2D_07","before the drop",62.989,4.61976865402299,30
"04_2D_09","after the drop",31.926,2.01522802758621,30
"04_2D_09","before the drop",69.062,5.46829620229885,30
"04_2D_11","after the drop",72.87,8.43990882758621,30
"04_2D_11","before the drop",68.332,4.99028537471264,30
"04_2D_13","after the drop",49.198,2.64932089195402,30
"04_2D_13","before the drop",36.45,2.00046220689655,30
"04_2D_15","after the drop",82.562,4.57845813333333,30
"04_2D_15","before the drop",99.727,9.0894339091954,30
"04_2D_17","after the drop",105.073,5.30932439195402,30
"04_2D_17","before the drop",61.497,1.7524863,30
"04_3A_05","after the drop",27.364,0.619747567816092,30
"04_3A_05","before the drop",35.709,1.67645256206897,30
"04_3A_07","after the drop",35.375,0.801834074712644,30
"04_3A_07","before the drop",48.25,2.14389133333333,30
"04_3A_09","after the drop",57.116,2.31480225747126,30
"04_3A_09","before the drop",45.964,1.14208405057471,30
"04_3A_11","after the drop",54.288,4.02080811034483,30
"04_3A_11","before the drop",37.48,2.71572029885057,30
"04_3A_13","after the drop",35.505,2.51707081034483,30
"04_3A_13","before the drop",30.347,0.728366116091954,30
"04_3A_15","after the drop",0.387,0.0049923,30
"04_3A_15","before the drop",1.154,0.0443905333333333,30
"04_3C_05","after the drop",66.776,3.62474908505747,30
"04_3C_05","before the drop",95.366,5.73263908505747,30
"04_3C_07","after the drop",42.091,1.31836499885057,30
"04_3C_07","before the drop",83.166,5.86105657931034,30
"04_3C_09","after the drop",70.801,5.96981113678161,30
"04_3C_09","before the drop",95.971,6.18257327471264,30
"04_3C_11","after the drop",53.734,3.12045322298851,30
"04_3C_11","before the drop",84.488,6.5284495816092,30
"04_3C_13","after the drop",58.184,6.23001791264368,30
"04_3C_13","before the drop",57.623,3.03379839195402,30
"04_3C_15","after the drop",25.612,1.55843530574713,30
"04_3C_15","before the drop",13.374,1.30169451034483,30
"04_3C_17","after the drop",11.588,2.00330916781609,30
"04_3C_17","before the drop",14.358,0.941687351724138,30
"04_4A_05","after the drop",29.508,1.08906245517241,30
"04_4A_05","before the drop",41.607,0.770418644827586,30
"04_4A_07","after the drop",20.341,0.333537412643678,30
"04_4A_07","before the drop",17.587,0.214418185057471,30
"04_4A_09","after the drop",2.6,0.0707875402298851,30
"04_4A_09","before the drop",9.843,0.148550713793103,30
"04_4A_11","after the drop",18.683,1.1068410816092,30
"04_4A_11","before the drop",20.62,0.785049195402299,30
"04_4A_13","after the drop",22.387,1.05725177126437,30
"04_4A_13","before the drop",12.321,0.856637182758621,30
"04_5B_05","after the drop",6.166,0.0233682574712644,30
"04_5B_05","before the drop",8.159,0.11336237816092,30
"04_5B_07","after the drop",0,0,30
"04_5B_07","before the drop",0,0,30
"04_5B_09","after the drop",15.18,1.07087689655172,30
"04_5B_09","before the drop",14.561,1.07021396436782,30
"04_5B_11","after the drop",4.681,0.297280998850575,30
"04_5B_11","before the drop",3.152,0.164198616091954,30
"04_5B_13","after the drop",2.055,0.107645637931034,30
"04_5B_13","before the drop",0.311,0.00160486091954023,30
"04_5B_15","after the drop",9.06,0.389401931034483,30
"04_5B_15","before the drop",14.905,0.978948764367816,30
"04_5C_05","after the drop",35.368,1.3526984091954,30
"04_5C_05","before the drop",30.013,1.16824521954023,30
"04_5C_07","after the drop",15.094,0.280414257471264,30
"04_5C_07","before the drop",30.825,0.9163555,30
"04_5C_09","after the drop",0.532,0.00943413333333333,30
"04_5C_09","before the drop",1.29,0.0198926896551724,30
"04_5C_11","after the drop",0,0,30
"04_5C_11","before the drop",2.716,0.180946188505747,30
"04_5C_13","after the drop",0.994,0.025239016091954,30
"04_5C_13","before the drop",0,0,30
"04_5C_15","after the drop",2.308,0.0638852367816092,30
"04_5C_15","before the drop",1.291,0.029067067816092,30
"04_5D_05","after the drop",10.897,0.293742391954023,30
"04_5D_05","before the drop",19.876,0.449503085057471,30
"04_5D_07","after the drop",11.499,0.689384010344828,30
"04_5D_07","before the drop",2.511,0.0133851827586207,30
"04_5D_09","after the drop",49.577,4.56567639195402,30
"04_5D_09","before the drop",43.882,2.22556068505747,30
"04_5D_11","after the drop",28.265,1.4997731091954,30
"04_5D_11","before the drop",17.08,0.986115471264368,30
"04_5D_13","after the drop",29.476,2.16252887816092,30
"04_5D_13","before the drop",56.503,2.77139211609195,30
"04_5D_15","after the drop",53.872,3.04246716781609,30
"04_5D_15","before the drop",63.209,5.02725203333333,30
"04_5D_17","after the drop",36.777,2.45089140344828,30
"04_5D_17","before the drop",35.327,2.43955756436782,30
"04_6A_05","after the drop",9.233,0.0724149436781609,30
"04_6A_05","before the drop",17.022,0.443761696551724,30
"04_6A_07","after the drop",0,0,30
"04_6A_07","before the drop",0.129,0.0005547,30
"04_6A_09","after the drop",1.6,0.0355037471264368,30
"04_6A_09","before the drop",10.3,0.560820091954023,30
"04_6A_11","after the drop",5.883,1.1536563,30
"04_6A_11","before the drop",5.986,0.387492326436782,30
"04_6A_13","after the drop",1.225,0.0229617988505747,30
"04_6A_13","before the drop",0.258,0.00107114482758621,30
"04_6A_15","after the drop",1.976,0.113720602298851,30
"04_6A_15","before the drop",3.633,0.217181127586207,30
